Customer_ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Segment
13256,NULL,1,0,1,1,1,111
16446,NULL,1,2.9,1,2,1,121
16738,NULL,1,3.75,1,2,1,121
14792,153,1,6.2,3,1,1,311
16454,183,2,6.9,3,2,1,321
17956,250,1,12.75,4,1,1,411
16878,NULL,1,13.3,1,2,1,121
15823,666,1,15,4,1,1,411
13307,32,1,15,2,1,1,211
17763,NULL,1,15,1,2,1,121
16093,NULL,1,17,1,2,1,121
17986,NULL,1,20.8,1,2,1,121
16953,90,1,20.8,3,1,1,311
18268,NULL,1,25.5,1,2,1,121
17102,NULL,1,25.5,1,2,1,121
15657,NULL,1,30,1,2,1,121
13120,NULL,1,30.6,1,1,1,111
17408,NULL,1,32.65,1,2,1,121
16765,NULL,1,34,1,2,1,121
15744,NULL,1,34.8,1,2,1,121
16856,NULL,1,35.4,1,2,1,121
17831,182,1,35.4,3,1,1,311
16344,247,1,35.7,4,1,1,411
15940,342,1,35.8,4,1,1,411
17816,454,4,36.56,4,3,1,431
12977,186,1,37.29,3,1,1,311
16162,340,1,37.4,4,1,1,411
12855,666,1,38.1,4,1,1,411
18019,NULL,1,38.45,1,2,1,121
16659,279,1,39.12,4,1,1,411
14589,638,1,39.75,4,1,1,411
15178,NULL,1,40.5,2,1,1,211
15992,181,1,41.99,3,1,1,311
14300,NULL,1,43.2,2,1,1,211
15423,333,1,43.5,4,1,1,411
14080,152,1,45.6,3,1,1,311
15899,546,1,46.35,4,1,1,411
16257,NULL,1,46.95,1,2,1,121
15603,NULL,1,48.48,1,2,1,121
13080,NULL,1,48.72,1,1,1,111
14821,485,1,48.8,4,1,1,411
18184,NULL,1,49.8,1,2,1,121
13011,666,1,50.55,4,1,1,411
14351,NULL,1,51,2,1,1,211
17844,NULL,1,51.56,1,2,1,121
14682,218,2,52,4,2,1,421
15313,NULL,1,52,2,1,1,211
13832,NULL,1,52.2,1,1,1,111
14865,301,2,52.2,4,3,1,431
15504,NULL,1,52.83,1,2,1,121
16349,NULL,1,53.5,1,2,1,121
13366,NULL,1,56.16,1,1,1,111
17775,NULL,1,56.4,1,2,1,121
14957,NULL,1,58.49,1,1,1,111
13682,218,1,59.5,4,1,1,411
13391,NULL,1,59.8,1,1,1,111
17174,188,1,59.9,3,1,1,311
13194,NULL,1,60.7,1,1,1,111
15516,NULL,3,62.43,1,3,1,131
13218,246,1,62.64,4,1,1,411
14840,NULL,1,62.85,1,1,1,111
12665,NULL,1,63,1,1,1,111
14437,454,1,63,4,1,1,411
17263,NULL,1,63.44,1,2,1,121
13302,156,1,63.75,3,1,1,311
13130,184,1,64,3,1,1,311
13684,NULL,1,65.13,1,1,1,111
17382,214,1,65.4,3,1,1,311
14393,219,1,67.95,4,1,1,411
15863,NULL,2,68.84,1,2,1,121
18037,363,6,70.02,4,4,1,441
17022,121,1,71,3,1,1,311
13185,NULL,1,71.4,1,1,1,111
17747,NULL,1,71.4,1,2,1,121
13938,243,1,71.66,4,1,1,411
13686,65,1,72,2,1,1,211
17906,189,1,72.9,3,1,1,311
16171,30,1,73.2,2,1,1,211
18032,100,1,73.5,3,1,1,311
12506,NULL,1,73.5,1,1,1,111
17960,NULL,1,73.78,1,2,1,121
18050,NULL,1,74.4,1,2,1,121
13095,NULL,1,74.4,1,1,1,111
16468,NULL,1,74.9,1,2,1,121
13403,NULL,1,75,1,1,1,111
16610,249,1,75.66,4,1,1,411
17628,NULL,1,75.75,1,2,1,121
17995,282,1,76.1,4,1,1,411
18113,546,1,76.32,4,1,1,411
15668,188,1,76.32,3,1,1,311
14090,NULL,1,76.32,2,1,1,211
16148,NULL,1,76.32,1,2,1,121
17536,NULL,1,76.5,1,2,1,121
13106,NULL,1,76.5,1,1,1,111
14373,NULL,1,76.55,2,1,1,211
13992,90,1,76.8,3,1,1,311
13132,NULL,1,77.3,1,1,1,111
14785,NULL,2,77.4,1,2,1,121
17942,301,1,77.5,4,1,1,411
17309,215,1,79,4,1,1,411
16078,341,1,79.2,4,1,1,411
15753,130,1,79.2,3,1,1,311
13747,697,1,79.6,4,1,1,411
17752,NULL,1,80.64,1,2,1,121
13967,NULL,1,80.7,2,1,1,211
16789,332,1,80.8,4,1,1,411
18281,4,1,80.82,2,1,1,211
17620,30,1,81.44,2,1,1,211
13006,NULL,1,81.57,1,1,1,111
15541,NULL,1,82.53,1,2,1,121
17359,NULL,1,84.3,1,2,1,121
12401,99,1,84.3,3,1,1,311
13666,61,3,84.65,2,3,1,231
15729,35,1,85,2,1,1,211
13841,340,1,85,4,1,1,411
13296,NULL,1,87.4,1,1,1,111
15180,516,1,87.5,4,1,1,411
15083,NULL,1,88.2,1,1,1,111
18033,214,1,88.87,3,1,1,311
12353,NULL,1,89,1,1,1,111
14436,304,1,89.06,4,1,1,411
12686,638,1,89.14,4,1,1,411
14760,NULL,1,89.2,1,1,1,111
14974,302,1,89.94,4,1,1,411
14219,212,1,89.94,3,1,1,311
14117,NULL,1,90,2,1,1,211
16597,212,1,90.04,3,1,1,311
15552,188,1,90.12,3,1,1,311
16506,NULL,2,90.3,1,2,1,121
18084,NULL,1,90.48,1,2,1,121
14353,127,1,90.6,3,1,1,311
13947,214,1,90.6,3,1,1,311
16339,NULL,1,91.15,1,2,1,121
15488,123,1,91.32,3,1,1,311
12659,60,1,91.68,2,1,1,211
13160,NULL,1,91.8,1,1,1,111
13551,NULL,1,91.8,1,1,1,111
12789,214,1,91.85,3,1,1,311
14054,214,1,92.46,3,1,1,311
12821,96,1,92.72,3,1,1,311
17991,NULL,2,93.35,1,2,1,121
13170,NULL,1,93.6,1,1,1,111
13283,30,2,93.66,2,2,1,221
18227,188,1,93.75,3,1,1,311
15428,NULL,1,93.78,2,1,1,211
15397,NULL,1,94,2,1,1,211
13651,243,2,94.2,4,2,1,421
16387,NULL,1,94.36,1,2,1,121
12548,NULL,1,95.2,1,1,1,111
18249,NULL,1,95.34,1,2,1,121
17895,NULL,1,95.45,1,2,1,121
17024,217,3,95.85,4,3,1,431
14642,0,1,96.12,2,1,1,211
15216,NULL,1,96.6,2,1,1,211
17325,251,1,96.8,4,1,1,411
12984,NULL,1,97.5,1,1,1,111
15422,NULL,2,97.7,2,2,1,221
17349,NULL,1,98.25,1,2,1,121
17538,NULL,1,98.42,1,2,1,121
15256,NULL,1,98.45,2,1,1,211
13876,153,1,98.9,3,1,1,311
16792,310,2,99.13,4,3,1,431
17939,278,1,99.14,4,1,1,411
13703,NULL,1,99.5,1,1,1,111
13067,NULL,1,99.56,1,1,1,111
17962,NULL,1,99.86,1,2,1,121
15607,162,1,100.2,3,1,1,311
14371,NULL,1,100.5,2,1,1,211
15853,NULL,1,100.6,1,2,1,121
17427,NULL,1,100.8,1,2,1,121
14946,NULL,1,100.9,1,1,1,111
16498,337,2,100.97,4,3,1,431
13002,NULL,1,101.15,1,1,1,111
13101,NULL,1,101.19,1,1,1,111
18086,68,1,101.34,2,1,1,211
16006,5,1,101.4,2,1,1,211
17643,697,1,101.55,4,1,1,411
18068,NULL,1,101.7,1,2,1,121
16516,90,1,101.7,3,1,1,311
17639,129,1,101.75,3,1,1,311
15212,6,1,101.8,2,1,1,211
13948,NULL,1,102,2,1,1,211
12734,NULL,1,102,1,1,1,111
14972,277,1,102.02,4,1,1,411
14981,159,1,102.12,3,1,1,311
17893,NULL,1,102.17,1,2,1,121
14271,NULL,1,102.24,2,1,1,211
14836,90,3,102.45,3,3,1,331
17836,NULL,1,102.71,1,2,1,121
18011,697,1,102.79,4,1,1,411
14542,157,1,103.25,3,1,1,311
18255,31,1,103.3,2,1,1,211
17548,NULL,1,103.3,1,2,1,121
17274,243,1,103.32,4,1,1,411
18129,67,1,103.7,2,1,1,211
18174,301,1,104,4,1,1,411
15958,NULL,1,104.35,1,2,1,121
13193,91,1,104.73,3,1,1,311
14027,61,1,104.82,2,1,1,211
15775,128,1,104.9,3,1,1,311
16666,NULL,1,104.94,1,2,1,121
14165,98,1,105.14,3,1,1,311
15512,156,2,105.7,3,2,1,321
16581,65,1,105.84,2,1,1,211
17791,60,1,106.1,2,1,1,211
15070,666,1,106.2,4,1,1,411
15168,NULL,1,106.56,2,1,1,211
16757,NULL,1,106.83,1,1,1,111
15395,NULL,1,107.45,2,1,1,211
16784,NULL,1,107.6,1,2,1,121
17967,638,1,107.92,4,1,1,411
14661,NULL,1,107.95,2,1,1,211
12956,191,1,108.07,3,1,1,311
13226,37,1,108.21,2,1,1,211
16697,6,1,108.25,2,1,1,211
16106,214,1,108.38,3,1,1,311
16412,NULL,1,108.54,1,2,1,121
14345,333,1,108.98,4,1,1,411
14699,96,1,109.13,3,1,1,311
16363,NULL,1,109.36,1,2,1,121
13133,37,2,109.8,2,2,1,221
17746,NULL,1,110.25,1,2,1,121
18277,0,1,110.38,2,1,1,211
17901,60,1,110.38,2,1,1,211
14641,NULL,1,110.46,2,1,1,211
16963,218,1,110.55,4,1,1,411
15537,NULL,1,110.92,1,2,1,121
13144,39,1,110.95,2,1,1,211
13508,67,1,110.97,2,1,1,211
18120,96,1,111.15,3,1,1,311
17279,NULL,1,111.33,1,2,1,121
17887,305,1,111.35,4,1,1,411
17957,244,1,111.68,4,1,1,411
12756,NULL,1,112.08,1,1,1,111
17900,307,2,112.2,4,3,1,431
17038,90,1,112.4,3,1,1,311
15610,NULL,1,112.46,1,2,1,121
17219,121,1,112.53,3,1,1,311
13807,516,1,112.6,4,1,1,411
13161,NULL,1,112.75,1,1,1,111
14689,NULL,1,112.8,2,1,1,211
15280,NULL,1,113.12,2,1,1,211
16913,NULL,1,113.44,1,2,1,121
18105,302,1,113.48,4,1,1,411
15445,NULL,1,113.5,2,1,1,211
17217,NULL,1,113.5,1,2,1,121
14457,311,1,113.64,4,1,1,411
12651,100,1,114,3,1,1,311
14582,NULL,1,114.11,2,1,1,211
12938,NULL,1,114.14,1,1,1,111
14652,NULL,1,114.18,2,1,1,211
17852,NULL,2,114.34,1,2,1,121
14632,NULL,1,114.56,2,1,1,211
16247,NULL,1,114.56,1,2,1,121
13188,NULL,1,114.6,1,1,1,111
14076,305,1,114.92,4,1,1,411
18027,304,1,115.31,4,1,1,411
15350,697,1,115.65,4,1,1,411
14143,NULL,1,115.8,2,1,1,211
17601,NULL,1,116.01,1,2,1,121
17117,NULL,1,116.2,1,2,1,121
14861,NULL,1,116.67,1,1,1,111
16611,187,1,117.04,3,1,1,311
13877,NULL,1,117.24,1,1,1,111
16959,NULL,1,117.35,1,2,1,121
17654,160,1,117.55,3,1,1,311
12929,342,1,117.85,4,1,1,411
13581,283,1,118,4,1,1,411
14155,NULL,1,118.75,2,1,1,211
17079,NULL,1,118.8,1,2,1,121
15843,99,1,118.95,3,1,1,311
15266,223,1,119.3,4,1,1,411
15543,NULL,1,119.36,1,2,1,121
16542,NULL,1,119.62,1,2,1,121
14453,307,1,119.93,4,1,1,411
14259,NULL,1,120,2,1,1,211
14314,NULL,1,120,2,1,1,211
18015,212,1,120.03,3,1,1,311
17446,311,2,120.9,4,3,1,431
16773,NULL,1,121.04,1,2,1,121
14413,363,1,121.05,4,1,1,411
15049,37,1,121.17,2,1,1,211
13182,NULL,1,121.18,1,1,1,111
13244,123,1,121.74,3,1,1,311
18018,NULL,2,122.14,1,2,1,121
16073,NULL,1,122.4,1,2,1,121
13638,NULL,1,122.64,1,1,1,111
13519,NULL,1,122.75,1,1,1,111
15917,189,1,123.1,3,1,1,311
16658,546,1,123.24,4,1,1,411
14495,63,2,123.8,2,2,1,221
16569,181,1,124.2,3,1,1,311
16849,187,1,124.57,3,1,1,311
17148,NULL,1,124.88,1,2,1,121
17297,NULL,1,125.2,1,2,1,121
12531,NULL,1,125.22,1,1,1,111
15017,182,1,125.58,3,1,1,311
14890,NULL,1,125.65,1,1,1,111
13522,90,1,125.8,3,1,1,311
12814,NULL,1,125.92,1,1,1,111
16988,242,1,126.12,4,1,1,411
15463,60,1,126.14,2,1,1,211
16414,251,2,126.25,4,2,1,421
14962,NULL,1,126.7,1,1,1,111
15923,666,1,127.08,4,1,1,411
15578,NULL,1,127.1,1,2,1,121
13781,281,1,127.84,4,1,1,411
15276,244,1,127.98,4,1,1,411
12851,245,1,128.11,4,1,1,411
16932,NULL,1,128.28,1,2,1,121
16828,154,2,128.5,3,2,1,321
16623,128,1,129.45,3,1,1,311
14813,577,2,129.68,4,3,1,431
16679,485,1,129.75,4,1,1,411
14581,NULL,1,129.85,2,1,1,211
15388,NULL,1,130.64,2,1,1,211
15844,NULL,1,130.74,1,2,1,121
14795,NULL,1,131.45,1,1,1,111
17455,NULL,1,131.7,1,2,1,121
15748,NULL,1,131.86,1,2,1,121
14438,191,1,131.9,3,1,1,311
17785,NULL,1,131.94,1,2,1,121
12512,244,2,132.18,4,2,1,421
13716,NULL,1,132.43,1,1,1,111
17647,214,1,133.06,3,1,1,311
15709,341,1,133.25,4,1,1,411
17881,130,1,133.35,3,1,1,311
12445,NULL,1,133.4,1,1,1,111
14349,NULL,1,133.5,2,1,1,211
16424,338,1,133.56,4,1,1,411
14280,NULL,1,134.04,2,1,1,211
12837,NULL,1,134.1,1,1,1,111
14174,182,1,134.46,3,1,1,311
15562,NULL,1,134.55,1,2,1,121
14340,219,1,134.7,4,1,1,411
16055,280,1,134.8,4,1,1,411
13364,NULL,1,134.96,1,1,1,111
14247,190,1,135.12,3,1,1,311
17972,6,1,135.19,2,1,1,211
16665,363,1,135.4,4,1,1,411
15174,NULL,1,135.75,2,1,1,211
16114,NULL,1,135.75,1,2,1,121
15419,NULL,1,135.86,2,1,1,211
14889,162,1,135.9,3,1,1,311
15042,NULL,1,135.93,1,1,1,111
12968,NULL,1,135.95,1,1,1,111
16462,157,3,136,3,3,1,331
17128,100,1,136.69,3,1,1,311
15691,340,1,136.8,4,1,1,411
17468,NULL,2,137,1,2,1,121
14483,282,1,137.1,4,1,1,411
15836,NULL,1,137.37,1,2,1,121
17709,NULL,1,137.45,1,2,1,121
13279,NULL,1,137.75,1,1,1,111
16050,NULL,1,137.9,1,2,1,121
16461,NULL,1,137.97,1,2,1,121
17714,NULL,1,138,1,2,1,121
15663,NULL,1,138.14,1,2,1,121
15869,160,2,138.29,3,2,1,321
17122,2,1,138.32,2,1,1,211
12902,NULL,1,138.68,1,1,1,111
