Customer_ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Segment,Cluster,Segment_Label
14792,153.0,1,6.2,3,1,1,311,0,Hibernating
16454,183.0,2,6.9,3,2,1,321,0,Hibernating
17956,250.0,1,12.75,4,1,1,411,0,Hibernating
15823,666.0,1,15.0,4,1,1,411,3,Hibernating
13307,32.0,1,15.0,2,1,1,211,0,Others
16953,90.0,1,20.8,3,1,1,311,0,Others
17831,182.0,1,35.4,3,1,1,311,0,Hibernating
16344,247.0,1,35.7,4,1,1,411,0,Hibernating
15940,342.0,1,35.8,4,1,1,411,3,Hibernating
17816,454.0,4,36.56,4,3,1,431,3,Others
12977,186.0,1,37.29,3,1,1,311,0,Hibernating
16162,340.0,1,37.4,4,1,1,411,3,Hibernating
12855,666.0,1,38.1,4,1,1,411,3,Hibernating
16659,279.0,1,39.12,4,1,1,411,3,Hibernating
14589,638.0,1,39.75,4,1,1,411,3,Hibernating
15992,181.0,1,41.99,3,1,1,311,0,Hibernating
15423,333.0,1,43.5,4,1,1,411,3,Hibernating
14080,152.0,1,45.6,3,1,1,311,0,Hibernating
15899,546.0,1,46.35,4,1,1,411,3,Hibernating
14821,485.0,1,48.8,4,1,1,411,3,Hibernating
13011,666.0,1,50.55,4,1,1,411,3,Hibernating
14682,218.0,2,52.0,4,2,1,421,0,Hibernating
14865,301.0,2,52.2,4,3,1,431,3,Hibernating
13682,218.0,1,59.5,4,1,1,411,0,Hibernating
17174,188.0,1,59.9,3,1,1,311,0,Hibernating
13218,246.0,1,62.64,4,1,1,411,0,Hibernating
14437,454.0,1,63.0,4,1,1,411,3,Hibernating
13302,156.0,1,63.75,3,1,1,311,0,Hibernating
13130,184.0,1,64.0,3,1,1,311,0,Hibernating
17382,214.0,1,65.4,3,1,1,311,0,Hibernating
14393,219.0,1,67.95,4,1,1,411,0,Hibernating
18037,363.0,6,70.02,4,4,1,441,3,Others
17022,121.0,1,71.0,3,1,1,311,0,Hibernating
13938,243.0,1,71.66,4,1,1,411,0,Hibernating
13686,65.0,1,72.0,2,1,1,211,0,Others
17906,189.0,1,72.9,3,1,1,311,0,Hibernating
16171,30.0,1,73.2,2,1,1,211,0,New Customers
18032,100.0,1,73.5,3,1,1,311,0,Others
16610,249.0,1,75.66,4,1,1,411,0,Hibernating
17995,282.0,1,76.1,4,1,1,411,3,Hibernating
18113,546.0,1,76.32,4,1,1,411,3,Hibernating
15668,188.0,1,76.32,3,1,1,311,0,Hibernating
13992,90.0,1,76.8,3,1,1,311,0,Others
17942,301.0,1,77.5,4,1,1,411,3,Hibernating
17309,215.0,1,79.0,4,1,1,411,0,Hibernating
16078,341.0,1,79.2,4,1,1,411,3,Hibernating
15753,130.0,1,79.2,3,1,1,311,0,Hibernating
13747,697.0,1,79.6,4,1,1,411,3,Hibernating
16789,332.0,1,80.8,4,1,1,411,3,Hibernating
18281,4.0,1,80.82,2,1,1,211,0,New Customers
17620,30.0,1,81.44,2,1,1,211,0,New Customers
12401,99.0,1,84.3,3,1,1,311,0,Others
13666,61.0,3,84.65,2,3,1,231,0,Others
15729,35.0,1,85.0,2,1,1,211,0,Others
13841,340.0,1,85.0,4,1,1,411,3,Hibernating
15180,516.0,1,87.5,4,1,1,411,3,Hibernating
18033,214.0,1,88.87,3,1,1,311,0,Hibernating
14436,304.0,1,89.06,4,1,1,411,3,Hibernating
12686,638.0,1,89.14,4,1,1,411,3,Hibernating
14974,302.0,1,89.94,4,1,1,411,3,Hibernating
14219,212.0,1,89.94,3,1,1,311,0,Hibernating
16597,212.0,1,90.04,3,1,1,311,0,Hibernating
15552,188.0,1,90.12,3,1,1,311,0,Hibernating
14353,127.0,1,90.6,3,1,1,311,0,Hibernating
13947,214.0,1,90.6,3,1,1,311,0,Hibernating
15488,123.0,1,91.32,3,1,1,311,0,Hibernating
12659,60.0,1,91.68,2,1,1,211,0,Others
12789,214.0,1,91.85,3,1,1,311,0,Hibernating
14054,214.0,1,92.46,3,1,1,311,0,Hibernating
12821,96.0,1,92.72,3,1,1,311,0,Others
13283,30.0,2,93.66,2,2,1,221,0,New Customers
18227,188.0,1,93.75,3,1,1,311,0,Hibernating
13651,243.0,2,94.2,4,2,1,421,0,Hibernating
17024,217.0,3,95.85,4,3,1,431,0,Others
14642,0.0,1,96.12,2,1,1,211,0,New Customers
17325,251.0,1,96.8,4,1,1,411,0,Hibernating
13876,153.0,1,98.9,3,1,1,311,0,Hibernating
16792,310.0,2,99.13,4,3,1,431,3,Hibernating
17939,278.0,1,99.14,4,1,1,411,3,Hibernating
15607,162.0,1,100.2,3,1,1,311,0,Hibernating
16498,337.0,2,100.97,4,3,1,431,3,Hibernating
18086,68.0,1,101.34,2,1,1,211,0,Others
16006,5.0,1,101.4,2,1,1,211,0,New Customers
